Tag_Tuple,Tag1_Count,Tag2_Count,Co-Occurency_Count,P(Tag1),P(Tag2),P(Tag1 AND Tag2),P(Tag1 OR Tag2)
"('Anime', ""Modder's Resource"")",27,68,2,0.00342,0.008613,0.000253,0.012033
"('Races - Modified', 'Armor - Shields')",31,74,1,0.003927,0.009373,0.000127,0.0133
"('Environment - Other', 'Weapons')",62,176,4,0.007853,0.022293,0.000507,0.030146
"('Animation - Modified', 'Items - Apparatus')",17,22,1,0.002153,0.002787,0.000127,0.00494
"('Related to Movies/TV/Other Games', 'Polish')",64,23,1,0.008106,0.002913,0.000127,0.01102
"('New Lands', 'Items - Apparatus')",18,22,1,0.00228,0.002787,0.000127,0.005066
"('Scripted Events', 'Utilities for Players')",23,63,1,0.002913,0.00798,0.000127,0.010893
"('Guilds / Factions', 'Creatures')",20,46,6,0.002533,0.005826,0.00076,0.00836
"('German', ""Modder's Resource"")",57,68,6,0.00722,0.008613,0.00076,0.015833
"('Environment - Weather', 'Clothing')",14,85,1,0.001773,0.010766,0.000127,0.01254
"('Faction: College of Winterhold', 'Fair and balanced')",8,292,2,0.001013,0.036985,0.000253,0.037999
"('Fair and balanced', 'Dragonborn')",292,41,16,0.036985,0.005193,0.002027,0.042179
"('Scripted Events', 'Italian')",23,29,1,0.002913,0.003673,0.000127,0.006586
"('Nudity', 'Tutorials for Modders')",64,12,1,0.008106,0.00152,0.000127,0.009626
"('Official', 'Environment - Other')",11,62,2,0.001393,0.007853,0.000253,0.009246
"('Polish', 'NPC Vendors')",23,33,2,0.002913,0.00418,0.000253,0.007093
"('For male characters', 'Birthsigns')",180,3,1,0.022799,0.00038,0.000127,0.023179
"('Related to horses', 'Magic - Potions')",16,14,1,0.002027,0.001773,0.000127,0.0038
"('English', 'Tutorials for Modders')",459,12,5,0.058138,0.00152,0.000633,0.059658
"('Races - Modified', 'Items - Furniture')",31,19,1,0.003927,0.002407,0.000127,0.006333
"('Cheating', 'Magic - Enchantments')",50,39,2,0.006333,0.00494,0.000253,0.011273
"('Lighting', 'Utilities for Players')",38,63,8,0.004813,0.00798,0.001013,0.012793
"('Humor, Joke or Just for Fun', 'Non-Playable Resource')",58,18,1,0.007346,0.00228,0.000127,0.009626
"('Chargen', 'Utilities for Modders')",26,26,2,0.003293,0.003293,0.000253,0.006586
"('New models', 'Video')",100,11,3,0.012666,0.001393,0.00038,0.01406
"('French', 'Dawnguard')",41,33,2,0.005193,0.00418,0.000253,0.009373
"('Armor - Shields', 'Clothing')",74,85,19,0.009373,0.010766,0.002407,0.020139
"('Animation - New', 'New Lands')",7,18,1,0.000887,0.00228,0.000127,0.003167
"('Czech', 'Locations - Buildings')",8,55,1,0.001013,0.006966,0.000127,0.00798
"('Compilation', 'New models')",16,100,6,0.002027,0.012666,0.00076,0.014693
"('Related to horses', 'Animation - Modified')",16,17,1,0.002027,0.002153,0.000127,0.00418
"('Russian', 'Locations - World Map')",28,34,3,0.003547,0.004307,0.00038,0.007853
"('New Lands', 'French')",18,41,2,0.00228,0.005193,0.000253,0.007473
"('Audio - Music', 'Body models')",26,31,1,0.003293,0.003927,0.000127,0.00722
"('Locations - Buildings', 'NPCs')",55,115,13,0.006966,0.014566,0.001647,0.021533
"('Audio - Voices', 'Scripted Events')",22,23,1,0.002787,0.002913,0.000127,0.0057
"('Companion Friendly', 'Items - Leveled')",137,15,2,0.017353,0.0019,0.000253,0.019253
"('Audio - Sound FX', 'Environment - Weather')",40,14,4,0.005066,0.001773,0.000507,0.00684
"('Locations - Buildings', 'Magic - Spells')",55,80,5,0.006966,0.010133,0.000633,0.017099
"('Animation - Modified', 'Environment - Weather')",17,14,2,0.002153,0.001773,0.000253,0.003927
"('For female characters', 'Clothing - Male')",209,47,24,0.026472,0.005953,0.00304,0.032426
"('Video', 'Locations - Caverns')",11,13,2,0.001393,0.001647,0.000253,0.00304
"('Magic - Spells', 'Utilities for Players')",80,63,2,0.010133,0.00798,0.000253,0.018113
"('Saved games', 'Clothing - Male')",98,47,1,0.012413,0.005953,0.000127,0.018366
"('Related to horses', 'Humor, Joke or Just for Fun')",16,58,4,0.002027,0.007346,0.000507,0.009373
"('Audio - Sound FX', 'Utilities for Players')",40,63,1,0.005066,0.00798,0.000127,0.013046
"('Classes component', 'Creatures')",4,46,1,0.000507,0.005826,0.000127,0.006333
"('Chargen', 'Other languages')",26,30,2,0.003293,0.0038,0.000253,0.007093
"('Scripted Events', 'Items - Leveled')",23,15,2,0.002913,0.0019,0.000253,0.004813
"('Japanese', 'Utilities for Players')",21,63,2,0.00266,0.00798,0.000253,0.01064
"('Environment - Water', 'Scripted Events')",10,23,1,0.001267,0.002913,0.000127,0.00418
"('Official', ""Modder's Resource"")",11,68,1,0.001393,0.008613,0.000127,0.010006
"('Russian', 'Dawnguard')",28,33,2,0.003547,0.00418,0.000253,0.007726
"('German', 'Items - Ingredients')",57,21,3,0.00722,0.00266,0.00038,0.00988
"('Books', 'Creatures - Rideable')",38,5,1,0.004813,0.000633,0.000127,0.005446
"('Animation - New', 'Magic - Enchantments')",7,39,1,0.000887,0.00494,0.000127,0.005826
"('Italian', 'Tutorials for Modders')",29,12,2,0.003673,0.00152,0.000253,0.005193
"('Animation - New', 'Items - Apparatus')",7,22,1,0.000887,0.002787,0.000127,0.003673
"('Armor - Shields', 'Items - Apparatus')",74,22,3,0.009373,0.002787,0.00038,0.01216
"('Humor, Joke or Just for Fun', 'Clothing')",58,85,5,0.007346,0.010766,0.000633,0.018113
"('Guilds / Factions', 'NPC Vendors')",20,33,5,0.002533,0.00418,0.000633,0.006713
"('Body models', 'Items - Ingredients')",31,21,1,0.003927,0.00266,0.000127,0.006586
"('Quests', 'Utilities for Players')",25,63,1,0.003167,0.00798,0.000127,0.011146
"('For female characters', 'Classes component')",209,4,1,0.026472,0.000507,0.000127,0.026979
"('Environment - Other', 'Video')",62,11,5,0.007853,0.001393,0.000633,0.009246
"('Not Lore-Friendly', 'Weapons')",76,176,13,0.009626,0.022293,0.001647,0.031919
"('Chargen', 'Lighting')",26,38,1,0.003293,0.004813,0.000127,0.008106
"('Audio - Voices', 'Environment - Sky')",22,21,2,0.002787,0.00266,0.000253,0.005446
"('Replacer', 'Cheating')",255,50,2,0.032299,0.006333,0.000253,0.038632
"('Races - Modified', 'Unrealistic')",31,57,2,0.003927,0.00722,0.000253,0.011146
"('For female characters', 'Items - Ingredients')",209,21,5,0.026472,0.00266,0.000633,0.029132
"('Compilation', 'Items - Clutter')",16,46,2,0.002027,0.005826,0.000253,0.007853
"('Related to Movies/TV/Other Games', 'Hair')",64,13,3,0.008106,0.001647,0.00038,0.009753
"('Clothing', 'Weapons')",85,176,9,0.010766,0.022293,0.00114,0.033059
"('New models', 'Plants / Foliage')",100,15,3,0.012666,0.0019,0.00038,0.014566
"('Creatures', 'Items - Furniture')",46,19,1,0.005826,0.002407,0.000127,0.008233
"('French', 'Clothing - Female')",41,86,3,0.005193,0.010893,0.00038,0.016086
"('Companion Friendly', 'Body models')",137,31,8,0.017353,0.003927,0.001013,0.021279
"('Faction: Dark Brotherhood', 'Guilds / Factions')",5,20,1,0.000633,0.002533,0.000127,0.003167
"('New Lands', 'Weapons')",18,176,4,0.00228,0.022293,0.000507,0.024573
"('Chargen', 'English')",26,459,15,0.003293,0.058138,0.0019,0.061431
"('New Lands', 'Humor, Joke or Just for Fun')",18,58,3,0.00228,0.007346,0.00038,0.009626
"('Audio - Voices', 'Lore-Friendly')",22,322,11,0.002787,0.040785,0.001393,0.043572
"('Chargen', 'Plants / Foliage')",26,15,1,0.003293,0.0019,0.000127,0.005193
"('Related to vampires', 'Magic - Enchantments')",23,39,2,0.002913,0.00494,0.000253,0.007853
"('For female characters', 'Japanese')",209,21,2,0.026472,0.00266,0.000253,0.029132
"('Video', 'Plants / Foliage')",11,15,2,0.001393,0.0019,0.000253,0.003293
"('Clothing', 'Items - Leveled')",85,15,2,0.010766,0.0019,0.000253,0.012666
"('New models', 'Humor, Joke or Just for Fun')",100,58,4,0.012666,0.007346,0.000507,0.020013
"('Birthsigns', 'Clothing - Male')",3,47,1,0.00038,0.005953,0.000127,0.006333
"('For male characters', 'Items - Apparatus')",180,22,4,0.022799,0.002787,0.000507,0.025586
"('Locations - Buildings', 'Weapons')",55,176,6,0.006966,0.022293,0.00076,0.029259
"('Items - Leveled', 'Magic - Spells')",15,80,4,0.0019,0.010133,0.000507,0.012033
"('Video', 'Clothing - Female')",11,86,2,0.001393,0.010893,0.000253,0.012286
"('Locations - World Map', 'Tutorials for Modders')",34,12,1,0.004307,0.00152,0.000127,0.005826
"('Environment - Weather', 'Locations - Player-Owned')",14,51,1,0.001773,0.00646,0.000127,0.008233
"('Audio - Sound FX', 'Creatures')",40,46,6,0.005066,0.005826,0.00076,0.010893
"('Items - Leveled', 'NPCs')",15,115,3,0.0019,0.014566,0.00038,0.016466
"('Related to Movies/TV/Other Games', 'Translation')",64,110,4,0.008106,0.013933,0.000507,0.022039
"('Related to Movies/TV/Other Games', 'Cheating')",64,50,1,0.008106,0.006333,0.000127,0.01444
"('Lighting', 'Polish')",38,23,1,0.004813,0.002913,0.000127,0.007726
"('Companion Friendly', 'Official')",137,11,3,0.017353,0.001393,0.00038,0.018746
"('Unbalanced', 'Books')",32,38,1,0.004053,0.004813,0.000127,0.008866
"('Poses', 'Body models')",5,31,1,0.000633,0.003927,0.000127,0.00456
"('Environment - Water', 'Armor - Shields')",10,74,1,0.001267,0.009373,0.000127,0.01064
"('Races - New', 'Polish')",22,23,1,0.002787,0.002913,0.000127,0.0057
"('Environment - Water', 'Clothing - Male')",10,47,1,0.001267,0.005953,0.000127,0.00722
"('Environment - Weather', 'Polish')",14,23,1,0.001773,0.002913,0.000127,0.004687
"('NPC Vendors', 'Weapons')",33,176,6,0.00418,0.022293,0.00076,0.026472
"('Scripted Events', 'Locations - Caverns')",23,13,2,0.002913,0.001647,0.000253,0.00456
"('For male characters', 'New Lands')",180,18,3,0.022799,0.00228,0.00038,0.025079
"('Hair', 'Locations - World Map')",13,34,1,0.001647,0.004307,0.000127,0.005953
"('Cheating', 'Utilities for Modders')",50,26,2,0.006333,0.003293,0.000253,0.009626
"('For female characters', 'Unrealistic')",209,57,14,0.026472,0.00722,0.001773,0.033692
"('Audio - Voices', 'Polish')",22,23,1,0.002787,0.002913,0.000127,0.0057
"('Races - New', 'Items - Clutter')",22,46,1,0.002787,0.005826,0.000127,0.008613
"('New Lands', 'Scripted Events')",18,23,4,0.00228,0.002913,0.000507,0.005193
"('Locations - World Map', 'User Interface')",34,39,1,0.004307,0.00494,0.000127,0.009246
"('Sexy/Skimpy', 'Japanese')",103,21,2,0.013046,0.00266,0.000253,0.015706
"('Fair and balanced', 'Books')",292,38,22,0.036985,0.004813,0.002787,0.041799
"('Chargen', 'Related to horses')",26,16,1,0.003293,0.002027,0.000127,0.00532
"('Sexy/Skimpy', 'Armor - Shields')",103,74,4,0.013046,0.009373,0.000507,0.022419
"('Magic - Potions', 'Plants / Foliage')",14,15,3,0.001773,0.0019,0.00038,0.003673
"('Unrealistic', 'Magic - Potions')",57,14,2,0.00722,0.001773,0.000253,0.008993
"('Environment - Sky', 'Quests')",21,25,4,0.00266,0.003167,0.000507,0.005826
"('French', 'Utilities for Modders')",41,26,3,0.005193,0.003293,0.00038,0.008486
"('Environment - Sky', 'Magic - Spells')",21,80,4,0.00266,0.010133,0.000507,0.012793
"('Related to Movies/TV/Other Games', ""Modder's Resource"")",64,68,5,0.008106,0.008613,0.000633,0.016719
"('Solstheim', 'Locations - Player-Owned')",10,51,2,0.001267,0.00646,0.000253,0.007726
"('Races - New', 'Not Safe For Work')",22,39,2,0.002787,0.00494,0.000253,0.007726
"('Related to vampires', 'Lore-Friendly')",23,322,13,0.002913,0.040785,0.001647,0.043699
"('For male characters', 'Lore-Friendly')",180,322,60,0.022799,0.040785,0.0076,0.063585
"('English', 'German')",459,57,27,0.058138,0.00722,0.00342,0.065358
"('Official', 'Items - Ingredients')",11,21,1,0.001393,0.00266,0.000127,0.004053
"('Official', 'Not Lore-Friendly')",11,76,4,0.001393,0.009626,0.000507,0.01102
"('Scripted Events', 'Items - Clutter')",23,46,4,0.002913,0.005826,0.000507,0.00874
"('Companion Friendly', 'Fair and balanced')",137,292,72,0.017353,0.036985,0.00912,0.054338
"('Items - Apparatus', 'NPCs')",22,115,4,0.002787,0.014566,0.000507,0.017353
"('Guilds / Factions', 'Clothing - Male')",20,47,3,0.002533,0.005953,0.00038,0.008486
"('Related to Movies/TV/Other Games', 'Animation - New')",64,7,2,0.008106,0.000887,0.000253,0.008993
"('Audio - Voices', 'Environment - Water')",22,10,1,0.002787,0.001267,0.000127,0.004053
"('For male characters', 'Not Lore-Friendly')",180,76,16,0.022799,0.009626,0.002027,0.032426
"('Guilds / Factions', 'Items - Apparatus')",20,22,2,0.002533,0.002787,0.000253,0.00532
"('Gameplay Effects/Changes', 'Not Lore-Friendly')",168,76,5,0.021279,0.009626,0.000633,0.030906
"('German', 'Spanish')",57,45,15,0.00722,0.0057,0.0019,0.01292
"('Environment - Other', 'Other languages')",62,30,3,0.007853,0.0038,0.00038,0.011653
"('Guilds / Factions', 'New textures')",20,340,7,0.002533,0.043065,0.000887,0.045598
"('Items - Apparatus', 'Tutorials for Modders')",22,12,1,0.002787,0.00152,0.000127,0.004307
"('Lighting', 'New Lands')",38,18,2,0.004813,0.00228,0.000253,0.007093
"('Unrealistic', 'Spanish')",57,45,2,0.00722,0.0057,0.000253,0.01292
"('Armor - Shields', ""Modder's Resource"")",74,68,1,0.009373,0.008613,0.000127,0.017986
"('Performance Optimization', 'Locations - Dungeons')",33,29,1,0.00418,0.003673,0.000127,0.007853
"('Fair and balanced', 'Creatures')",292,46,15,0.036985,0.005826,0.0019,0.042812
"('Fair and balanced', 'Clothing - Female')",292,86,19,0.036985,0.010893,0.002407,0.047878
"('Cheating', 'NPCs')",50,115,2,0.006333,0.014566,0.000253,0.020899
"('Environment - Other', 'NPCs')",62,115,4,0.007853,0.014566,0.000507,0.022419
"('Replacer', 'Magic - Enchantments')",255,39,5,0.032299,0.00494,0.000633,0.037239
"('Animation - Modified', 'Lore-Friendly')",17,322,6,0.002153,0.040785,0.00076,0.042939
"('Czech', 'Locations - Player-Owned')",8,51,1,0.001013,0.00646,0.000127,0.007473
"('Audio - Music', 'Birthsigns')",26,3,1,0.003293,0.00038,0.000127,0.003673
"('Body models', 'Clothing - Female')",31,86,8,0.003927,0.010893,0.001013,0.01482
"('Related to horses', 'Italian')",16,29,2,0.002027,0.003673,0.000253,0.0057
"('Italian', 'Russian')",29,28,17,0.003673,0.003547,0.002153,0.00722
"('Audio - Sound FX', 'NPCs')",40,115,4,0.005066,0.014566,0.000507,0.019633
"('Quests', 'Scripted Events')",25,23,5,0.003167,0.002913,0.000633,0.00608
"('German', 'Clothing')",57,85,8,0.00722,0.010766,0.001013,0.017986
"('English', 'Magic - Enchantments')",459,39,19,0.058138,0.00494,0.002407,0.063078
"('Unrealistic', 'Non-Playable Resource')",57,18,2,0.00722,0.00228,0.000253,0.0095
"('Lore-Friendly', 'Sexy/Skimpy')",322,103,10,0.040785,0.013046,0.001267,0.053832
"('Polish', 'Locations - Caverns')",23,13,1,0.002913,0.001647,0.000127,0.00456
"('Quests', 'Books')",25,38,9,0.003167,0.004813,0.00114,0.00798
"('Cheating', 'Armor - Shields')",50,74,3,0.006333,0.009373,0.00038,0.015706
"('Unrealistic', 'NPC Vendors')",57,33,3,0.00722,0.00418,0.00038,0.0114
"('Clothing - Female', 'NPCs')",86,115,13,0.010893,0.014566,0.001647,0.025459
"('Clothing - Female', 'Items - Leveled')",86,15,2,0.010893,0.0019,0.000253,0.012793
"('Audio - Music', 'Quests')",26,25,4,0.003293,0.003167,0.000507,0.00646
"('Czech', 'Magic - Spells')",8,80,3,0.001013,0.010133,0.00038,0.011146
"('Body models', 'Environment - Weather')",31,14,1,0.003927,0.001773,0.000127,0.0057
"('For female characters', ""Modder's Resource"")",209,68,9,0.026472,0.008613,0.00114,0.035085
"('Gameplay Effects/Changes', 'Unbalanced')",168,32,8,0.021279,0.004053,0.001013,0.025332
"('Environment - Water', 'Tutorials for Players')",10,18,1,0.001267,0.00228,0.000127,0.003547
"('Official', 'Related to Movies/TV/Other Games')",11,64,2,0.001393,0.008106,0.000253,0.0095
"('French', 'Weapons')",41,176,8,0.005193,0.022293,0.001013,0.027486
"('Lore-Friendly', 'Translation')",322,110,16,0.040785,0.013933,0.002027,0.054718
"('Related to vampires', 'Magic - Potions')",23,14,2,0.002913,0.001773,0.000253,0.004687
"('Guilds / Factions', 'Plants / Foliage')",20,15,2,0.002533,0.0019,0.000253,0.004433
"('Animation - New', 'Nudity')",7,64,1,0.000887,0.008106,0.000127,0.008993
"('Audio - Music', 'Items - Clutter')",26,46,2,0.003293,0.005826,0.000253,0.00912
"('Animation - Modified', 'Environment - Other')",17,62,3,0.002153,0.007853,0.00038,0.010006
"('Magic - Potions', 'User Interface')",14,39,1,0.001773,0.00494,0.000127,0.006713
"('Audio - Voices', 'New models')",22,100,2,0.002787,0.012666,0.000253,0.015453
"('Locations - Buildings', ""Modder's Resource"")",55,68,2,0.006966,0.008613,0.000253,0.015579
"('Items - Ingredients', 'Magic - Enchantments')",21,39,4,0.00266,0.00494,0.000507,0.0076
"('Items - Clutter', ""Modder's Resource"")",46,68,6,0.005826,0.008613,0.00076,0.01444
"('Leveled Lists', 'Utilities for Players')",21,63,1,0.00266,0.00798,0.000127,0.01064
"('Faction: Companions', 'Fair and balanced')",4,292,1,0.000507,0.036985,0.000127,0.037492
"('For female characters', 'Birthsigns')",209,3,1,0.026472,0.00038,0.000127,0.026852
"('Environment - Weather', 'Other languages')",14,30,1,0.001773,0.0038,0.000127,0.005573
"('Classes component', 'Lore-Friendly')",4,322,3,0.000507,0.040785,0.00038,0.041292
"('Guilds / Factions', 'French')",20,41,1,0.002533,0.005193,0.000127,0.007726
"('English', 'Books')",459,38,27,0.058138,0.004813,0.00342,0.062951
"('Locations - World Map', 'Magic - Potions')",34,14,2,0.004307,0.001773,0.000253,0.00608
"('Unbalanced', 'Saved games')",32,98,1,0.004053,0.012413,0.000127,0.016466
"('Locations - Player-Owned', 'Hearthfire')",51,12,2,0.00646,0.00152,0.000253,0.00798
"('New textures', 'Not Safe For Work')",340,39,11,0.043065,0.00494,0.001393,0.048005
"('For male characters', 'Clothing - Male')",180,47,32,0.022799,0.005953,0.004053,0.028752
"('Not Lore-Friendly', 'Saved games')",76,98,1,0.009626,0.012413,0.000127,0.022039
"('Spanish', 'Locations - Player-Owned')",45,51,1,0.0057,0.00646,0.000127,0.01216
"('Face models', 'NPC Vendors')",37,33,3,0.004687,0.00418,0.00038,0.008866
"('Books', 'Tutorials for Modders')",38,12,1,0.004813,0.00152,0.000127,0.006333
"('Video', 'SKSE (Skyrim Script Extender)')",11,27,1,0.001393,0.00342,0.000127,0.004813
"('Animation - Modified', 'Locations - Buildings')",17,55,3,0.002153,0.006966,0.00038,0.00912
"('Scripted Events', 'Tutorials for Players')",23,18,1,0.002913,0.00228,0.000127,0.005193
"('For female characters', 'Plants / Foliage')",209,15,1,0.026472,0.0019,0.000127,0.028372
"('Compilation', 'User Interface')",16,39,1,0.002027,0.00494,0.000127,0.006966
"('Czech', 'Creatures')",8,46,1,0.001013,0.005826,0.000127,0.00684
"('Anime', 'Translation')",27,110,1,0.00342,0.013933,0.000127,0.017353
"('Companions', 'Clothing - Female')",85,86,8,0.010766,0.010893,0.001013,0.021659
"('For female characters', 'Races - Modified')",209,31,6,0.026472,0.003927,0.00076,0.030399
"('For male characters', 'Armor - Shields')",180,74,39,0.022799,0.009373,0.00494,0.032172
"('English', 'NPC Vendors')",459,33,19,0.058138,0.00418,0.002407,0.062318
"('Italian', 'Armor - Shields')",29,74,1,0.003673,0.009373,0.000127,0.013046
"('Lore-Friendly', 'Unrealistic')",322,57,6,0.040785,0.00722,0.00076,0.048005
"('Clothing - Male', 'Items - Clutter')",47,46,3,0.005953,0.005826,0.00038,0.01178
"('Birthsigns', 'Guilds / Factions')",3,20,1,0.00038,0.002533,0.000127,0.002913
"('Faction: Thieves Guild', 'Replacer')",3,255,2,0.00038,0.032299,0.000253,0.032679
"('Replacer', 'Leveled Lists')",255,21,1,0.032299,0.00266,0.000127,0.034959
"('Official', 'Clothing - Male')",11,47,2,0.001393,0.005953,0.000253,0.007346
"('Items - Leveled', 'Locations - World Map')",15,34,2,0.0019,0.004307,0.000253,0.006206
"('Guilds / Factions', 'Magic - Potions')",20,14,2,0.002533,0.001773,0.000253,0.004307
"('Items - Ingredients', 'NPC Vendors')",21,33,2,0.00266,0.00418,0.000253,0.00684
"('Companions', 'Nudity')",85,64,4,0.010766,0.008106,0.000507,0.018873
"('Hair', 'Clothing')",13,85,1,0.001647,0.010766,0.000127,0.012413
"('Environment - Sky', 'Leveled Lists')",21,21,2,0.00266,0.00266,0.000253,0.00532
"('For female characters', 'Nudity')",209,64,21,0.026472,0.008106,0.00266,0.034579
"('Translation', 'Japanese')",110,21,1,0.013933,0.00266,0.000127,0.016593
"('Polish', 'Utilities for Players')",23,63,4,0.002913,0.00798,0.000507,0.010893
"('Items - Furniture', 'Plants / Foliage')",19,15,4,0.002407,0.0019,0.000507,0.004307
"('Hair', 'Polish')",13,23,1,0.001647,0.002913,0.000127,0.00456
"('Scripted Events', 'Clothing - Male')",23,47,3,0.002913,0.005953,0.00038,0.008866
"('Unbalanced', 'Unrealistic')",32,57,3,0.004053,0.00722,0.00038,0.011273
"('Not Lore-Friendly', 'Russian')",76,28,1,0.009626,0.003547,0.000127,0.013173
"('Not Lore-Friendly', 'NPC Vendors')",76,33,1,0.009626,0.00418,0.000127,0.013806
"('French', 'Polish')",41,23,17,0.005193,0.002913,0.002153,0.008106
"('Audio - Music', 'Audio - Voices')",26,22,5,0.003293,0.002787,0.000633,0.00608
"('Companion Friendly', 'Books')",137,38,10,0.017353,0.004813,0.001267,0.022166
"('Environment - Water', 'Leveled Lists')",10,21,1,0.001267,0.00266,0.000127,0.003927
"('For male characters', 'Sexy/Skimpy')",180,103,9,0.022799,0.013046,0.00114,0.035845
"('Saved games', 'Unrealistic')",98,57,1,0.012413,0.00722,0.000127,0.019633
"('Environment - Other', 'Czech')",62,8,1,0.007853,0.001013,0.000127,0.008866
"('Anime', 'Humor, Joke or Just for Fun')",27,58,1,0.00342,0.007346,0.000127,0.010766
"('Locations - Dungeons', 'Locations - World Map')",29,34,11,0.003673,0.004307,0.001393,0.00798
"('Chargen', 'Clothing')",26,85,1,0.003293,0.010766,0.000127,0.01406
"('Audio - Sound FX', 'Audio - Voices')",40,22,14,0.005066,0.002787,0.001773,0.007853
"('Companion Friendly', 'Companions')",137,85,48,0.017353,0.010766,0.00608,0.028119
"('Gameplay Effects/Changes', 'Magic - Spells')",168,80,28,0.021279,0.010133,0.003547,0.031412
"('Creatures - Rideable', 'Utilities for Modders')",5,26,1,0.000633,0.003293,0.000127,0.003927
"('Audio - Voices', 'New Lands')",22,18,2,0.002787,0.00228,0.000253,0.005066
"('Related to Movies/TV/Other Games', 'Plants / Foliage')",64,15,1,0.008106,0.0019,0.000127,0.010006
"('Related to horses', 'Spanish')",16,45,2,0.002027,0.0057,0.000253,0.007726
"('For male characters', 'Environment - Sky')",180,21,1,0.022799,0.00266,0.000127,0.025459
"('Gameplay Effects/Changes', 'Environment - Other')",168,62,17,0.021279,0.007853,0.002153,0.029132
"('Compilation', 'Guilds / Factions')",16,20,1,0.002027,0.002533,0.000127,0.00456
"('Items - Leveled', ""Modder's Resource"")",15,68,1,0.0019,0.008613,0.000127,0.010513
"('New models', 'Armor - Shields')",100,74,11,0.012666,0.009373,0.001393,0.022039
"('Animation - Modified', 'New models')",17,100,4,0.002153,0.012666,0.000507,0.01482
"('English', 'Magic - Potions')",459,14,10,0.058138,0.001773,0.001267,0.059911
"('Not Lore-Friendly', 'Locations - Player-Owned')",76,51,2,0.009626,0.00646,0.000253,0.016086
"('Leveled Lists', 'Items - Leveled')",21,15,5,0.00266,0.0019,0.000633,0.00456
"('Gameplay Effects/Changes', 'Utilities for Players')",168,63,5,0.021279,0.00798,0.000633,0.029259
"(""Modder's Resource"", 'Tutorials for Modders')",68,12,6,0.008613,0.00152,0.00076,0.010133
"('Companions', 'Fair and balanced')",85,292,25,0.010766,0.036985,0.003167,0.047752
"('Companion Friendly', ""Modder's Resource"")",137,68,11,0.017353,0.008613,0.001393,0.025966
"('Compilation', 'Locations - Caverns')",16,13,1,0.002027,0.001647,0.000127,0.003673
"('Performance Optimization', 'Races - Modified')",33,31,2,0.00418,0.003927,0.000253,0.008106
"('Lore-Friendly', 'Dawnguard')",322,33,14,0.040785,0.00418,0.001773,0.044965
"('Environment - Water', 'Locations - Caverns')",10,13,1,0.001267,0.001647,0.000127,0.002913
"('Gameplay Effects/Changes', 'New models')",168,100,8,0.021279,0.012666,0.001013,0.033946
"('Audio - Music', 'Books')",26,38,3,0.003293,0.004813,0.00038,0.008106
"('Environment - Other', 'Locations - Player-Owned')",62,51,6,0.007853,0.00646,0.00076,0.014313
"('Items - Furniture', 'User Interface')",19,39,2,0.002407,0.00494,0.000253,0.007346
"('Armor - Shields', 'NPC Vendors')",74,33,4,0.009373,0.00418,0.000507,0.013553
"('Companion Friendly', 'Anime')",137,27,3,0.017353,0.00342,0.00038,0.020773
"('Fair and balanced', 'Items - Apparatus')",292,22,12,0.036985,0.002787,0.00152,0.039772
"('Races - New', 'Creatures - Rideable')",22,5,1,0.002787,0.000633,0.000127,0.00342
"('New textures', 'Translation')",340,110,8,0.043065,0.013933,0.001013,0.056998
"('Classes component', 'Tutorials for Players')",4,18,1,0.000507,0.00228,0.000127,0.002787
"('Items - Ingredients', 'Magic - Potions')",21,14,4,0.00266,0.001773,0.000507,0.004433
"('Gameplay Effects/Changes', 'Unrealistic')",168,57,6,0.021279,0.00722,0.00076,0.028499
"('Humor, Joke or Just for Fun', 'Saved games')",58,98,2,0.007346,0.012413,0.000253,0.019759
"('Replacer', 'Magic - Spells')",255,80,7,0.032299,0.010133,0.000887,0.042432
"('Humor, Joke or Just for Fun', 'Locations - Player-Owned')",58,51,2,0.007346,0.00646,0.000253,0.013806
"('Audio - Sound FX', 'Humor, Joke or Just for Fun')",40,58,6,0.005066,0.007346,0.00076,0.012413
"('Hair', 'Unrealistic')",13,57,1,0.001647,0.00722,0.000127,0.008866
"('Japanese', 'Magic - Potions')",21,14,1,0.00266,0.001773,0.000127,0.004433
"('Fair and balanced', 'Clothing - Male')",292,47,19,0.036985,0.005953,0.002407,0.042939
"('Environment - Sky', 'Items - Apparatus')",21,22,1,0.00266,0.002787,0.000127,0.005446
"('Official', 'NPC Trainers')",11,8,1,0.001393,0.001013,0.000127,0.002407
"('For female characters', 'Environment - Water')",209,10,1,0.026472,0.001267,0.000127,0.027739
"('Humor, Joke or Just for Fun', 'Items - Apparatus')",58,22,2,0.007346,0.002787,0.000253,0.010133
"('Japanese', 'Non-Playable Resource')",21,18,2,0.00266,0.00228,0.000253,0.00494
"('Polish', 'Spanish')",23,45,16,0.002913,0.0057,0.002027,0.008613
"('Video', 'Locations - World Map')",11,34,1,0.001393,0.004307,0.000127,0.0057
"('New models', 'Unrealistic')",100,57,5,0.012666,0.00722,0.000633,0.019886
"('Not Lore-Friendly', 'Czech')",76,8,1,0.009626,0.001013,0.000127,0.01064
"('Books', 'Locations - Caverns')",38,13,4,0.004813,0.001647,0.000507,0.00646
"('Animation - Modified', 'Lighting')",17,38,1,0.002153,0.004813,0.000127,0.006966
"('Gameplay Effects/Changes', 'Environment - Weather')",168,14,4,0.021279,0.001773,0.000507,0.023053
